SciName,keyID,Category,CommonName,Token,plantneeds_lightfull,plantneeds_lightpartialsun,plantneeds_lightshade,plantneeds_moisturelow,plantneeds_moisturemed,plantneeds_moisturehigh,plantneeds_seasonalwet,plantneeds_aquatic,plantneeds_uniquesoils_acid,plantneeds_uniquesoils_basic,plantneeds_uniquesoils_clay,plantneeds_uniquesoils_welldrained,plantneeds_uniquesoils_gravel,plantneeds_uniquesoils_peat,plantneeds_uniquesoils_silt,plantneeds_uniquesoils_rocky,plantneeds_uniquesoils_shale,plantneeds_uniquesoils_mesic,plantneeds_uniquesoils_loam,plantneeds_uniquesoils_adaptable,plantneeds_uniquesoils_someorganicmaterial,plantneeds_uniquesoils_rich,plantneeds_uniquesoils_sand,plantneeds_uniquesoils_moist,plantneeds_uniquesoils_mucky,plantneeds_uniquesoils_xeric,plantneeds_uniquesoils_decayingleaf,plantneeds_uniquesoils_poor,GHSpreadRapidly,GHDeerResistant,GHGroundhogResistant,bloomsJan,bloomsFeb,bloomsMar,bloomsApr,bloomsMay,bloomsJun,bloomsJul,bloomsAug,bloomsSep,bloomsOct,bloomsNov,bloomsDec,PCHeightLow,PCHeightHigh,PCSpreadLow,PCSpreadHigh,PCBloomTime,PCGroundCover,Albemarle_County,Charlottesville_City,Buckingham_County,Culpeper_County,Fluvanna_County,Greene_County,Louisa_County,Madison_County,Nelson_County,Orange_County,Virginia,United_States,Disputed,Fauquier_County,Rappahannock_County
Adiantum pedatum,1105,1.0,northern maidenhair fern,ADPE,,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,8.0,20,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Asplenium platyneuron,1145,1.0,ebony spleenwort,ASPL,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,6.0,18.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Athyrium filix-femina,1147,1.0,common ladyfern,ATFI,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,2.0,3.5,,,, ,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Athyrium asplenioides,1148,1.0,southern ladyfern,ATFIA2,,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Botrypus virginianus,1159,1.0,rattlesnake fern,BOVI,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2.0,6.0,5.0,10,"04,05", ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Cheilanthes lanosa,1212,1.0,hairy lip fern,CHLA2,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,6.0,12.0,15.0,18,, ,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True
Cheilanthes tomentosa,1213,1.0,wooly lip fern,CHTO2,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,6.0,18.0,,,, ,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False
Dennstaedtia punctilobula,1250,1.0,hay scented fern,DEPU2,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,,,,,,,,,,,,,1.0,3.0,2.0,3,,Y,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Dryopteris celsa ,1261,1.0,log fern,DRCE,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,3.0,4.0,1.5,2.5,, ,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False
Dryopteris cristata,1262,1.0,crested woodfern,DRCR4,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,3.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Dryopteris intermedia,1263,1.0,"evergreen wood,fancy fern",DRIN5,,True,False,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,10.0,36.0,,,, ,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True
Dryopteris marginalis,1264,1.0,"marginal shield,marginal wood fern",DRMA4,,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Dryopteris carthusiana,1265,1.0,"tooth,spinulose wood fern",DRCA11,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,,,,,,,,,,,,2.0,3.0,2.0,3,, ,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True
Lygodium palmatum,1383,1.0,"American climbing,Hartford fern",LYPA3,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,6.0,12.0,,,, ,True,True,True,False,True,False,True,False,False,False,True,True,False,False,False
Osmundastrum cinnamomeum,1411,1.0,cinnamon fern,OSCI,,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,3.0,6.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Osmunda claytoniana,1412,1.0,interrupted fern,OSCL2,,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,6.0,,,6, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Osmunda spectabilis,1413,1.0,royal fern,OSRE,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,3.0,6.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Pellaea atropurpurea,1428,1.0,purple cliffbrake,PEAT2,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,, ,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False
Polypodium virginianum,1467,1.0,"rock polypody,rockcap fern",POVI7,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,5.0,10.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Polystichum acrostichoides,1468,1.0,Christmas fern,POAC4,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,3.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Pteridium aquilinum,1480,1.0,"eagle,bracken fern",PTAQ,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,,,,,,,,,,,,,1.0,4.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Thelypteris noveboracensis,1590,1.0,New York fern,THNO,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,,,,,,,,,,,,,1.0,2.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Thelypteris palustris,1591,1.0,marsh fern,THPA,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,1.0,4.0,,,, ,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Onoclea sensibilis,1670,1.0,"sensitive fern,bead fern",ONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
