Active Growth Period,After Harvest Regrowth Rate,Bloat,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Id,C:N Ratio,"Height at 20 Years, Maximum (feet)"
Spring and Summer,Slow,None,No,No,Yes,Yellow,No,Green,Dense,Moderate,Medium,Green,No,Rhizomatous,Moderate,3.9,No,No,Moderate,No,None,No,Erect,None,16268,,
Spring and Summer,Moderate,None,No,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Moderate,5.0,No,No,Moderate,No,None,No,Semi-Erect,None,16271,High,
Spring,Moderate,Low,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,3.0,No,No,Moderate,No,None,No,Erect,Slight,31206,Medium,
Spring and Summer,,None,Yes,Yes,No,White,No,Green,Dense,Porous,Coarse,Brown,Yes,Multiple Stem,Rapid,60.0,No,No,Short,No,None,Yes,Erect,None,92814,High,35
,,,,,,,,,,,,,,,,,,,,,,,,,72484,,
Spring and Summer,,None,No,Yes,Yes,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Slow,35.0,Yes,No,Short,No,None,Yes,Erect,None,92842,High,25
,,,,,,,,,,,,,,,,,,,,,,,,,72494,,
Spring and Summer,,None,Yes,Yes,No,Red,Yes,Green,Dense,Porous,Medium,Red,Yes,Single Stem,Rapid,68.0,No,No,Short,No,None,Yes,Rounded,Slight,92846,High,35
Spring and Summer,,None,Yes,Yes,No,Yellow,Yes,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,90.0,No,No,Moderate,No,None,Yes,Rounded,None,92860,High,45
Spring and Summer,,None,No,Yes,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Slow,100.0,Yes,No,Long,No,None,Yes,Erect,None,92865,High,20
