Id,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)"
14459,,,,,,,,,,,,,,,,,,,,,,
14357,Yes,No,Yes,Low,Low,No,Low,High,Medium,80,None,Medium,6.6,4.6,4800,1200,60,36,10,None,Tolerant,-38
13080,,,,,,,,,,,,,,,,,,,,,,
13404,No,No,Yes,Low,Low,No,Low,Medium,Low,80,None,Medium,7.0,4.5,2700,1700,60,30,12,None,Tolerant,-38
13412,,,,,,,,,,,,,,,,,,,,,,
12926,No,No,Yes,None,Low,No,Low,High,High,85,None,Medium,6.9,5.6,4800,1700,55,14,10,None,Tolerant,-38
14477,,,,,,,,,,,,,,,,,,,,,,
13296,,,,,,,,,,,,,,,,,,,,,,
13568,,,,,,,,,,,,,,,,,,,,,,
13578,No,Yes,Yes,High,High,No,Low,Low,None,120,None,High,6.5,3.5,,,55,15,12,None,Tolerant,-33
13597,,,,,,,,,,,,,,,,,,,,,,
13605,,,,,,,,,,,,,,,,,,,,,,
13562,,,,,,,,,,,,,,,,,,,,,,
14155,,,,,,,,,,,,,,,,,,,,,,
14160,No,Yes,Yes,Medium,Low,No,Medium,Medium,None,100,None,Medium,7.0,4.5,3450,2700,60,40,12,Low,Tolerant,-33
14166,No,Yes,Yes,Medium,Low,No,Low,High,Low,110,Low,High,6.0,4.0,2700,1200,55,32,12,None,Tolerant,-38
14167,Yes,Yes,Yes,Medium,Low,No,Low,High,Low,110,Low,High,6.0,4.0,1700,700,55,32,16,None,Tolerant,-38
14559,,,,,,,,,,,,,,,,,,,,,,
14320,,,,,,,,,,,,,,,,,,,,,,
13787,,,,,,,,,,,,,,,,,,,,,,
13351,Yes,No,Yes,None,Medium,No,Medium,Low,High,90,None,Medium,7.0,4.5,10912,2728,60,16,10,None,Tolerant,-43
14837,Yes,Yes,Yes,High,Low,No,Medium,Low,Medium,100,None,Low,7.0,4.0,10912,3450,60,30,6,None,Tolerant,-28
14854,,,,,,,,,,,,,,,,,,,,,,
13778,,,,,,,,,,,,,,,,,,,,,,
20153,No,Yes,Yes,High,None,No,Low,Medium,High,130,None,High,7.5,5.0,,,45,20,8,Medium,Intermediate,-33
20180,No,Yes,Yes,High,None,No,Low,Medium,High,120,None,High,7.5,5.5,,,56,32,8,None,Intermediate,-33
20316,Yes,Yes,Yes,Medium,High,No,High,Medium,High,190,None,Medium,8.5,6.5,,,55,20,20,Medium,Intolerant,-9
20324,Yes,Yes,Yes,High,None,No,Low,Low,Medium,160,None,High,6.3,5.0,18000,11000,70,35,12,Low,Intolerant,-23
20367,No,Yes,Yes,None,High,No,High,Low,High,135,None,Medium,7.0,4.9,,,45,30,14,Low,Intolerant,-18
23350,,,,,,,,,,,,,,,,,,,,,,
20561,Yes,Yes,Yes,Medium,Low,No,Medium,Medium,High,180,High,Medium,6.9,5.0,7200,3700,100,24,18,Low,Intolerant,-23
21603,,,,,,,,,,,,,,,,,,,,,,
20755,No,Yes,Yes,High,High,No,High,Medium,Medium,150,None,Medium,8.0,6.5,27000,11000,32,7,12,Medium,Intolerant,-38
20816,,,,,,,,,,,,,,,,,,,,,,
20903,Yes,Yes,No,Low,Medium,No,Low,Low,Medium,175,None,Medium,7.5,5.5,,,40,12,16,Low,Tolerant,-3
20954,No,Yes,Yes,Low,Medium,No,Medium,High,Medium,90,None,Medium,8.0,5.5,,,60,35,12,Medium,Intolerant,-43
21103,No,Yes,Yes,High,Medium,No,Low,Medium,Low,102,None,Medium,8.0,4.5,7000,3450,65,14,16,None,Intolerant,-33
21127,No,Yes,Yes,High,Medium,No,Low,Medium,Low,110,None,Medium,7.0,4.0,7000,3450,65,35,6,None,Intolerant,-28
18129,No,Yes,Yes,Medium,Medium,No,Low,High,High,165,None,Medium,7.0,5.9,4800,2700,55,28,8,None,Tolerant,-3
18150,,,,,,,,,,,,,,,,,,,,,,
18180,No,Yes,Yes,High,Low,No,None,Medium,High,130,None,High,6.0,4.5,4800,2700,55,40,12,Low,Intermediate,-18
