Id,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,"Height at 20 Years, Maximum (feet)"
14459,,,,,,,,,,,,,,,,,,,,,,,,,,,
14357,Spring and Summer,Slow,None,Medium,No,Yes,No,Brown,No,Dark Green,Moderate,Porous,Fine,Brown,No,Rhizomatous,Moderate,1.3,No,No,Moderate,No,None,No,Semi-Erect,None,
13080,,,,,,,,,,,,,,,,,,,,,,,,,,,
13404,"Spring, Summer, Fall",Slow,None,Medium,No,Yes,No,,No,Green,Dense,Porous,Fine,,No,Rhizomatous,Moderate,3.0,No,No,Long,No,None,No,Semi-Erect,None,
13412,,,,,,,,,,,,,,,,,,,,,,,,,,,
12926,Spring and Summer,,None,Medium,No,No,No,,No,Green,Porous,Porous,Fine,,No,Rhizomatous,Moderate,1.4,No,No,Moderate,No,None,No,Erect,None,
14477,,,,,,,,,,,,,,,,,,,,,,,,,,,
13296,,,,,,,,,,,,,,,,,,,,,,,,,,,
13568,,,,,,,,,,,,,,,,,,,,,,,,,,,
13578,Spring and Summer,Slow,None,,No,No,No,Brown,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,1.6,No,No,Moderate,No,None,No,Erect,None,
13597,,,,,,,,,,,,,,,,,,,,,,,,,,,
13605,,,,,,,,,,,,,,,,,,,,,,,,,,,
13562,,,,,,,,,,,,,,,,,,,,,,,,,,,
14155,,,,,,,,,,,,,,,,,,,,,,,,,,,
14160,Spring and Fall,Slow,None,,No,No,No,Orange,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,4.9,No,No,Moderate,No,None,No,Erect,None,
14166,"Spring, Summer, Fall",,None,High,No,Yes,No,Brown,No,Dark Green,Dense,Porous,Medium,Brown,No,Rhizomatous,Moderate,4.0,No,No,Long,No,None,No,Semi-Erect,None,
14167,"Spring, Summer, Fall",,None,High,No,Yes,No,,No,Dark Green,Dense,Porous,Fine,,No,Rhizomatous,Moderate,6.0,No,No,Long,No,None,No,Semi-Erect,None,
14559,,,,,,,,,,,,,,,,,,,,,,,,,,,
14320,,,,,,,,,,,,,,,,,,,,,,,,,,,
13787,,,,,,,,,,,,,,,,,,,,,,,,,,,
13351,Spring and Summer,Slow,None,,No,No,No,Green,No,Dark Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,6.6,No,No,Moderate,No,None,No,Erect,Slight,
14837,Spring,Slow,None,,No,No,No,Brown,No,Yellow-Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,1.5,No,No,Moderate,No,None,No,Erect,None,
14854,,,,,,,,,,,,,,,,,,,,,,,,,,,
13778,,,,,,,,,,,,,,,,,,,,,,,,,,,
20153,"Spring, Summer, Fall",Moderate,None,Low,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,3.5,No,No,Short,Yes,None,No,Erect,None,
20180,"Spring, Summer, Fall",Moderate,None,Low,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.5,No,No,Short,No,None,No,Decumbent,None,
20316,Summer,Moderate,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Moderate,7.0,No,No,Long,No,None,No,Erect,None,
20324,Summer,Moderate,None,Medium,No,Yes,No,White,No,Green,Dense,Moderate,Fine,Brown,No,Bunch,Moderate,6.3,No,No,Moderate,Yes,None,No,Erect,None,
20367,Summer,Slow,None,High,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,3.0,No,No,Moderate,No,None,No,Erect,None,
23350,,,,,,,,,,,,,,,,,,,,,,,,,,,
20561,Spring,Rapid,None,High,No,Yes,No,,No,Dark Green,Dense,Dense,Medium,,No,Rhizomatous,Rapid,25.0,No,No,Long,No,None,No,Erect,None,
21603,,,,,,,,,,,,,,,,,,,,,,,,,,,
20755,Summer,Moderate,None,Medium,No,No,No,Yellow,No,Gray-Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Moderate,0.5,No,No,Moderate,Yes,None,No,Decumbent,None,
20816,,,,,,,,,,,,,,,,,,,,,,,,,,,
20903,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,4.0,No,No,Long,No,None,No,Erect,None,
20954,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Rapid,4.5,No,No,Short,Yes,None,No,Semi-Erect,None,
21103,Spring,Moderate,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Rhizomatous,Moderate,4.9,No,No,Long,No,None,No,Erect,None,
21127,Spring,Moderate,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,4.9,No,No,Long,No,None,No,Erect,None,
18129,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.0,No,No,Long,No,None,No,Semi-Erect,None,
18150,,,,,,,,,,,,,,,,,,,,,,,,,,,
18180,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,1.8,No,No,Long,No,None,No,Semi-Erect,None,
18236,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,2.0,No,No,Moderate,No,None,No,Erect,None,
18297,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,2.6,No,No,Moderate,No,None,No,Erect,None,
18321,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,5.0,No,No,Long,No,None,No,Erect,None,
18330,Spring,Slow,None,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,5.2,No,No,Long,No,None,No,Erect,None,
18354,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Long,No,None,No,Semi-Erect,None,
18467,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,2.0,No,No,Long,No,None,No,Erect,None,
18452,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Gray-Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,1.0,No,No,Long,No,None,No,Erect,None,
18494,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,3.0,No,No,Long,No,None,No,Semi-Erect,None,
18499,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Slow,2.5,No,No,Long,No,None,No,Erect,None,
17314,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Dark Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,
17455,Spring,Slow,None,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,4.3,No,No,Long,No,None,No,Erect,None,
17458,Spring,Slow,None,,No,No,Yes,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Moderate,3.2,No,No,Long,No,None,No,Erect,None,
17576,Spring and Summer,Slow,None,High,No,No,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Rapid,5.0,No,No,Long,No,None,No,Erect,None,
17676,,,,,,,,,,,,,,,,,,,,,,,,,,,
17706,,,,,,,,,,,,,,,,,,,,,,,,,,,
17718,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.3,No,No,Moderate,No,None,No,Semi-Erect,None,
17749,,,,,,,,,,,,,,,,,,,,,,,,,,,
17767,,,,,,,,,,,,,,,,,,,,,,,,,,,
