Id,Symbol,ScientificName,CommonName,Group,Durations,GrowthHabits
14459,CHLA2,<i>Cheilanthes lanosa</i> (Michx.) D.C. Eaton,hairy lipfern,Fern,['Perennial'],['Forb/herb']
14357,ADPE,<i>Adiantum pedatum</i> L.,northern maidenhair,Fern,['Perennial'],['Forb/herb']
13080,ASPL,"<i>Asplenium platyneuron</i> (L.) Britton, Sterns & Poggenb.",ebony spleenwort,Fern,['Perennial'],['Forb/herb']
13404,ATFI,<i>Athyrium filix-femina</i> (L.) Roth,common ladyfern,Fern,['Perennial'],['Forb/herb']
13412,ATFIA2,<i>Athyrium filix-femina</i> (L.) Roth ssp. <i>asplenioides</i> (Michx.) Hultén,asplenium ladyfern,Fern,['Perennial'],['Forb/herb']
12926,BOVI,<i>Botrychium virginianum</i> (L.) Sw.,rattlesnake fern,Fern,['Perennial'],['Forb/herb']
14477,CHTO2,<i>Cheilanthes tomentosa</i> Link,woolly lipfern,Fern,['Perennial'],['Forb/herb']
13296,DEPU2,<i>Dennstaedtia punctilobula</i> (Michx.) T. Moore,eastern hayscented fern,Fern,['Perennial'],['Forb/herb']
13568,DRCE,"<i>Dryopteris celsa</i> (Wm. Palmer) Knowlt., Palmer & Pollard ex Small",log fern,Fern,['Perennial'],['Forb/herb']
13578,DRCR4,<i>Dryopteris cristata</i> (L.) A. Gray,crested woodfern,Fern,['Perennial'],['Forb/herb']
13597,DRIN5,<i>Dryopteris intermedia</i> (Muhl. ex Willd.) A. Gray,intermediate woodfern,Fern,['Perennial'],['Forb/herb']
13605,DRMA4,<i>Dryopteris marginalis</i> (L.) A. Gray,marginal woodfern,Fern,['Perennial'],['Forb/herb']
13562,DRCA11,<i>Dryopteris carthusiana</i> (Vill.) H.P. Fuchs,spinulose woodfern,Fern,['Perennial'],['Forb/herb']
14155,LYPA3,<i>Lygodium palmatum</i> (Bernh.) Sw.,American climbing fern,Fern,['Perennial'],"['Forb/herb', 'Vine']"
14160,OSCI,<i>Osmunda cinnamomea</i> L.,cinnamon fern,Fern,['Perennial'],['Forb/herb']
14166,OSCL2,<i>Osmunda claytoniana</i> L.,interrupted fern,Fern,['Perennial'],['Forb/herb']
14167,OSRE,<i>Osmunda regalis</i> L.,royal fern,Fern,['Perennial'],['Forb/herb']
14559,PEAT2,<i>Pellaea atropurpurea</i> (L.) Link,purple cliffbrake,Fern,['Perennial'],['Forb/herb']
14320,POVI7,<i>Polypodium virginianum</i> L.,rock polypody,Fern,['Perennial'],['Forb/herb']
13787,POAC4,<i>Polystichum acrostichoides</i> (Michx.) Schott,Christmas fern,Fern,['Perennial'],['Forb/herb']
13351,PTAQ,<i>Pteridium aquilinum</i> (L.) Kuhn,western brackenfern,Fern,['Perennial'],['Forb/herb']
14837,THNO,<i>Thelypteris noveboracensis</i> (L.) Nieuwl.,New York fern,Fern,['Perennial'],['Forb/herb']
14854,THPA,<i>Thelypteris palustris</i> Schott,eastern marsh fern,Fern,['Perennial'],['Forb/herb']
13778,ONSE,<i>Onoclea sensibilis</i> L.,sensitive fern,Fern,['Perennial'],['Forb/herb']
20153,AGHY,"<i>Agrostis hyemalis</i> (Walter) Britton, Sterns & Poggenb.",winter bentgrass,Monocot,['Perennial'],['Graminoid']
20180,AGPE,<i>Agrostis perennans</i> (Walter) Tuck.,upland bentgrass,Monocot,['Perennial'],['Graminoid']
20316,ANGE,<i>Andropogon gerardii</i> Vitman,big bluestem,Monocot,['Perennial'],['Graminoid']
20324,ANGL2,"<i>Andropogon glomeratus</i> (Walter) Britton, Sterns & Poggenb.",bushy bluestem,Monocot,['Perennial'],['Graminoid']
20367,ANVI2,<i>Andropogon virginicus</i> L.,broomsedge bluestem,Monocot,['Perennial'],['Graminoid']
23350,HIHIA,<i>Hierochloe hirta</i> (Schrank) Borbás ssp. <i>arctica</i> (J. Presl) G. Weim.,northern sweetgrass,Monocot,['Perennial'],['Graminoid']
20561,ARGI,<i>Arundinaria gigantea</i> (Walter) Muhl.,giant cane,Monocot,['Perennial'],"['Graminoid', 'Shrub', 'Subshrub']"
21603,DEFLF,<i>Deschampsia flexuosa</i> (L.) Trin. var. <i>flexuosa </i>,wavy hairgrass,Monocot,['Perennial'],['Graminoid']
20755,BODA2,<i>Bouteloua dactyloides</i> (Nutt.) J.T. Columbus,buffalograss,Monocot,['Perennial'],['Graminoid']
20816,BRER2,<i>Brachyelytrum erectum</i> (Schreb. ex Spreng.) P. Beauv.,bearded shorthusk,Monocot,['Perennial'],['Graminoid']
20903,BRCI2,<i>Bromus ciliatus</i> L.,fringed brome,Monocot,['Perennial'],['Graminoid']
20954,BRIN2,<i>Bromus inermis</i> Leyss.,smooth brome,Monocot,['Perennial'],['Graminoid']
21103,CACA4,<i>Calamagrostis canadensis</i> (Michx.) P. Beauv.,bluejoint,Monocot,['Perennial'],['Graminoid']
21127,CACO71,<i>Calamagrostis coarctata</i> Eaton,Nuttall's reedgrass,Monocot,['Perennial'],['Graminoid']
18129,CAAM8,<i>Carex amphibola</i> Steud.,eastern narrowleaf sedge,Monocot,['Perennial'],['Graminoid']
18150,CAAP5,<i>Carex appalachica</i> J. Webber & P.W. Ball,Appalachian sedge,Monocot,['Perennial'],['Graminoid']
18180,CAAT4,<i>Carex atlantica</i> L.H. Bailey,prickly bog sedge,Monocot,['Perennial'],['Graminoid']
18236,CABL,<i>Carex blanda</i> Dewey,eastern woodland sedge,Monocot,['Perennial'],['Graminoid']
18297,CACE,<i>Carex cephalophora</i> Muhl. ex Willd.,oval-leaf sedge,Monocot,['Perennial'],['Graminoid']
18321,CACO8,<i>Carex comosa</i> Boott,longhair sedge,Monocot,['Perennial'],['Graminoid']
18330,CACR6,<i>Carex crinita</i> Lam.,fringed sedge,Monocot,['Perennial'],['Graminoid']
18354,CADE5,<i>Carex debilis</i> Michx.,white edge sedge,Monocot,['Perennial'],['Graminoid']
18467,CAFR3,<i>Carex frankii</i> Kunth,Frank's sedge,Monocot,['Perennial'],['Graminoid']
18452,CAFL3,<i>Carex flaccosperma</i> Dewey,thinfruit sedge,Monocot,['Perennial'],['Graminoid']
18494,CAGR2,<i>Carex gracillima</i> Schwein.,graceful sedge,Monocot,['Perennial'],['Graminoid']
18499,CAGR3,<i>Carex granularis</i> Muhl. ex Willd.,limestone meadow sedge,Monocot,['Perennial'],['Graminoid']
17314,CAIN12,<i>Carex intumescens</i> Rudge,greater bladder sedge,Monocot,['Perennial'],['Graminoid']
17455,CALU4,<i>Carex lupulina</i> Muhl. ex Willd.,hop sedge,Monocot,['Perennial'],['Graminoid']
17458,CALU5,<i>Carex lurida</i> Wahlenb.,shallow sedge,Monocot,['Perennial'],['Graminoid']
17576,CANO,<i>Carex normalis</i> Mack.,greater straw sedge,Monocot,['Perennial'],['Graminoid']
17676,CAPE6,<i>Carex pensylvanica</i> Lam.,Pennsylvania sedge,Monocot,['Perennial'],['Graminoid']
17706,CAPL4,<i>Carex plantaginea</i> Lam.,plantainleaf sedge,Monocot,['Perennial'],['Graminoid']
17718,CAPR12,<i>Carex prasina</i> Wahlenb.,drooping sedge,Monocot,['Perennial'],['Graminoid']
17749,CARA8,<i>Carex radiata</i> (Wahlenb.) Small,eastern star sedge,Monocot,['Perennial'],['Graminoid']
17767,CARO22,<i>Carex rosea</i> Schkuhr ex Willd.,rosy sedge,Monocot,['Perennial'],['Graminoid']
17826,CASC11,<i>Carex scoparia</i> Schkuhr ex Willd.,broom sedge,Monocot,['Perennial'],['Graminoid']
17859,CASH2,<i>Carex shortiana</i> Dewey,Short's sedge,Monocot,['Perennial'],['Graminoid']
17885,CASQ2,<i>Carex squarrosa</i> L.,squarrose sedge,Monocot,['Perennial'],['Graminoid']
17903,CAST5,<i>Carex stipata</i> Muhl. ex Willd.,awlfruit sedge,Monocot,['Perennial'],['Graminoid']
17921,CAST8,<i>Carex stricta</i> Lam.,upright sedge,Monocot,['Perennial'],['Graminoid']
17948,CASW,<i>Carex swanii</i> (Fernald) Mack.,Swan's sedge,Monocot,['Perennial'],['Graminoid']
17981,CATO4,<i>Carex torta</i> Boott ex Tuck.,twisted sedge,Monocot,['Perennial'],['Graminoid']
17988,CATR7,<i>Carex tribuloides</i> Wahlenb.,blunt broom sedge,Monocot,['Perennial'],['Graminoid']
18058,CAVU2,<i>Carex vulpinoidea</i> Michx.,fox sedge,Monocot,['Perennial'],['Graminoid']
21302,CHLA5,<i>Chasmanthium latifolium</i> (Michx.) Yates,Indian woodoats,Monocot,['Perennial'],['Graminoid']
21304,CHLA6,<i>Chasmanthium laxum</i> (L.) Yates,slender woodoats,Monocot,['Perennial'],['Graminoid']
21368,CIAR2,<i>Cinna arundinacea</i> L.,sweet woodreed,Monocot,['Perennial'],['Graminoid']
24236,PAAN,<i>Panicum anceps</i> Michx.,beaked panicgrass,Monocot,['Perennial'],['Graminoid']
18590,CYES,<i>Cyperus esculentus</i> L.,yellow nutsedge,Monocot,['Perennial'],['Graminoid']
