Id,Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Seed per Pound
14459,,,,,,,,,,,,,,,,,,,,
14357,Summer,Contracting Only,High,Summer,Fall,No,No,No,Yes,No,No,No,No,Yes,No,Slow,Low,No,Moderate,
13080,,,,,,,,,,,,,,,,,,,,
13404,,Routinely Available,None,,,No,No,No,Yes,No,No,No,No,Yes,No,None,,No,Moderate,
13412,,,,,,,,,,,,,,,,,,,,
12926,Late Spring,No Known Source,,Summer,Summer,No,Yes,No,No,No,No,No,No,Yes,No,None,,No,Slow,
14477,,,,,,,,,,,,,,,,,,,,
13296,,,,,,,,,,,,,,,,,,,,
13568,,,,,,,,,,,,,,,,,,,,
13578,Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Moderate,
13597,,,,,,,,,,,,,,,,,,,,
13605,,,,,,,,,,,,,,,,,,,,
13562,,,,,,,,,,,,,,,,,,,,
14155,,,,,,,,,,,,,,,,,,,,
14160,Spring,Routinely Available,Medium,Spring,Spring,Yes,No,No,Yes,No,No,No,No,Yes,No,Moderate,Medium,No,None,
14166,Mid Summer,Routinely Available,High,Summer,Summer,No,No,No,Yes,No,Yes,No,No,Yes,No,Slow,Medium,No,Rapid,
14167,,Routinely Available,None,,,No,No,No,Yes,No,Yes,Yes,No,Yes,No,None,,No,Rapid,
14559,,,,,,,,,,,,,,,,,,,,
14320,,,,,,,,,,,,,,,,,,,,
13787,,,,,,,,,,,,,,,,,,,,
13351,Summer,Routinely Available,Medium,Summer,Fall,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Moderate,
14837,Summer,Routinely Available,High,Summer,Summer,No,No,Yes,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Slow,1325000
14854,,,,,,,,,,,,,,,,,,,,
13778,,,,,,,,,,,,,,,,,,,,
20153,Mid Spring,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Moderate,8500000
20180,Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Moderate,8000000
