strSciName,keyID,strCategory,strCommonName,strToken,flgEvaluated,flgRecommended,flgNativeTo,flgAvail,,flgPNLightFull,flgPNLightPartialSun,flgPNLightShade,flgPNMoistureLow,flgPNMoistureMed,flgPNMoistureHigh,flgPNSeasonalWet,flgPNAquatic,strPNUniqueSoils,flgGHDeerResistant,flgGHGroundhogResistant,flgGHSpreadRapidly,flgSWBioretention,flgSWRainGarden,flgSWRetentionBasinWet,flgSWDetentionBasinDry,flgSWStreamBuffer,flgSWGreenRoof,flgSWSwale,flgSWWetland,strPCFoliageColor,strPCHeightLow,strPCHeightHigh,flgPCHeightIncr,flgPCHeightPlus,strPCSpreadLow,strPCSpreadHigh,flgPCSpreadIncr,flgPCSpreadPlus,Off set,flgPCGroundCover,strSciName,strPCBloomTime,strPCFlowerColor,flgPCEdible,flgPCEasyGrow,flgPMSeed,flgPMPlug,flgPMRootBall,flgPMStaking,flgRUErosion,flgRUWildlife,strCaterpHostPlantComName,strCaterpHostPlantSciName,strLandscape,flgRUSubdivision,flgRUHorticulture,flgRUScreening,flgRUHedge,flgRUParkingLot,flgRUStreetscape,flgRUOpenSpace,flgShallowRoots,strSlopes,strSpecialUses,strLandscapeGardenUses,strPlantCommunity,strTolerates,strSusceptible,strPlantingRecommendations,strGrowthPatterns,strSeasonColor,strBlooms,strMaintenance,strComments,Temp_NotFound,strSource,strThumbLink,strPicture1,strPicture2,strPicture3,strPicture4,booActive,dteDateAdded,dteDateChanged,strUserName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,Empty - duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,18:17.4,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,Empty - duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,18:17.4,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1390,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty - duplicate,,,,,,,,,,,,,,,,,,,,,,,,NULL,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,I,36:25.8,11:43.5,eppack      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,Empty - duplicate,,,,,,,,,,,,,,,,,,,,,,,,NULL,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,18:17.4,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty - duplicate,,,,E,,,,,,,,,,,,,,,,,,,,NULL,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,18:27.9,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1649,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty - duplicate,,,,E,,,,,,,,,,,,,,,,,,,,NULL,,,,,,,,,,,Primary,NULL,NULL,NULL,NULL,NULL,A,28:39.3,18:47.0,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty - duplicate,1663,0,,CHLA2,N,R,"A,C,B,P,G,Q,F,M,N,O,R,V,U        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty - duplicate,,,,,,,,,,,,,,,,,,,,,,,,Rock Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaTEST PLANT PLEASE IGNORE Sci name2,1088,1,aaTEST PLANT PLEASE IGNORE Comm name2,BCDEF,Y,R,"F,G,L,O,M,P,B  ",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,aaTEST PLANT PLEASE IGNORE Sci name2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,I,50:21.1,07:56.2,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaTEST PLANT PLEASE IGNORE Sci name4,1090,1,aaTEST PLANT PLEASE IGNORE Comm name4,ABCDF,Y,N,"A,C,N,V,U      ",M      ,,Y,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NULL,D,NULL,NULL,NULL, ,NULL,NULL,NULL, ,,Y,aaTEST PLANT PLEASE IGNORE Sci name4,NULL,G,Y,E,Y,Y,Y,Y,Y,C              ,,,Y,Y,Y,Y,,Y,Y,Y,,,,spec uses,,,,,,,,,NULL,,Primary,NULL,NULL,NULL,NULL,NULL,I,44:22.4,32:32.7,eppack      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adiantum pedatum,1105,1,northern maidenhair fern,ADPE,Y,R,"A,C,B,P,G,Q,F,L,M,N,O,R,V,U        ",       ,,,Y,Y, ,Y, , , ,R                        ,Y, , , ,Y, , ,Y, ,NULL,NULL,H,1,3,F, ,8,20,I, ,, ,Adiantum pedatum,,X, ,E, , , , , ,H                   ,,,Y, ,Y, ,, , , ,,,,"Naturalize,rich wooded slopes, ravine bottoms and damp shady woods,Attractive ornamental fern for the shaded border, woodland garden, shaded rock garden or native plant garden. Also effective as an edger along paths in shade gardens","rich deciduous woodlands, rocky wooded slopes, and shaded ravines where limestone or sandstone is close to the ground surface.","Heavy Shade,Deer","No serious insect or disease problems. Wind. High summer heat may cause fronds to brown by mid to late summer, particularly if good soil moisture is not maintained and/or plants are grown in too much sun","light shade, moist to mesic conditions, and pockets of loose fertile loam with an abundance of decaying leaf litter. This fern likes high humidity","Spreads slowly by creeping, branching rhizomes to form large colonies over time,  deciduous, clump-forming,Wiry stems are reddish-brown to black",emerge pink in spring,,Low,deciduous ,,Primary,NULL,NULL,NULL,NULL,NULL,A,00:00.0,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
