Id,Symbol,ScientificName,ScientificNameComponents,CommonName,Group,RankId,Rank,Durations,GrowthHabits,NativeStatuses,MapCoordinates,PlantsDistributionResults,AcceptedId,OtherCommonNames,HasSynonyms,Ancestors,HasSubordinateTaxa,SubordinateTaxa,HasWildlife,Wildlife,HasWetlandData,WetlandData,HasImages,HasRelatedLinks,RelatedLinks,HasLegalStatuses,LegalStatuses,HasNoxiousStatuses,NoxiousStatuses,HasDocumentation,HasDistributionData,Documentation,PlantNotes,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,InvasiveStatuses,ProtectedStatuses,PlantGuideUrls,FactSheetUrls,HasCharacteristics,PlantLocationId,Characteristics,HasEthnobotany,Ethnobotanies,HasPollinator,Pollinators,ScientificSort,characteristics/Active Growth Period,characteristics/Bloat,characteristics/C:N Ratio,characteristics/Coppice Potential,characteristics/Fall Conspicuous,characteristics/Fire Resistant,characteristics/Flower Color,characteristics/Flower Conspicuous,characteristics/Foliage Color,characteristics/Foliage Porosity Summer,characteristics/Foliage Porosity Winter,characteristics/Foliage Texture,characteristics/Fruit/Seed Color,characteristics/Fruit/Seed Conspicuous,characteristics/Growth Form,characteristics/Growth Rate,"characteristics/Height at 20 Years, Maximum (feet)","characteristics/Height, Mature (feet)",characteristics/Known Allelopath,characteristics/Leaf Retention,characteristics/Lifespan,characteristics/Low Growing Grass,characteristics/Nitrogen Fixation,characteristics/Resprout Ability,characteristics/Shape and Orientation,characteristics/Toxicity,characteristics/Adapted to Coarse Textured Soils,characteristics/Adapted to Fine Textured Soils,characteristics/Adapted to Medium Textured Soils,characteristics/Anaerobic Tolerance,characteristics/CaCO3 Tolerance,characteristics/Cold Stratification Required,characteristics/Drought Tolerance,characteristics/Fertility Requirement,characteristics/Fire Tolerance,"characteristics/Frost Free Days, Minimum",characteristics/Hedge Tolerance,characteristics/Moisture Use,"characteristics/pH, Maximum","characteristics/pH, Minimum","characteristics/Planting Density per Acre, Maximum","characteristics/Planting Density per Acre, Minimum","characteristics/Precipitation, Maximum","characteristics/Precipitation, Minimum","characteristics/Root Depth, Minimum (inches)",characteristics/Salinity Tolerance,characteristics/Shade Tolerance,"characteristics/Temperature, Minimum (°F)",characteristics/Bloom Period,characteristics/Commercial Availability,characteristics/Fruit/Seed Abundance,characteristics/Fruit/Seed Period Begin,characteristics/Fruit/Seed Period End,characteristics/Fruit/Seed Persistence,characteristics/Propagated by Bare Root,characteristics/Propagated by Bulb,characteristics/Propagated by Container,characteristics/Propagated by Corm,characteristics/Propagated by Cuttings,characteristics/Propagated by Seed,characteristics/Propagated by Sod,characteristics/Propagated by Sprigs,characteristics/Propagated by Tubers,characteristics/Seed per Pound,characteristics/Seed Spread Rate,characteristics/Seedling Vigor,characteristics/Small Grain,characteristics/Vegetative Spread Rate,characteristics/Berry/Nut/Seed Product,characteristics/Christmas Tree Product,characteristics/Fodder Product,characteristics/Fuelwood Product,characteristics/Lumber Product,characteristics/Naval Store Product,characteristics/Nursery Stock Product,characteristics/Palatable Browse Animal,characteristics/Palatable Human,characteristics/Post Product,characteristics/Pulpwood Product,characteristics/Veneer Product,characteristics/Protein Potential,characteristics/Palatable Graze Animal,characteristics/After Harvest Regrowth Rate
42690,ABGR4,<i>Abelia ×grandiflora</i> (Rovelli ex André) Rehder [<i>chinensis × uniflora</i>],,glossy abelia,,0,,,,,,,42690,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,1,abgr4_001_tvp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abelia grandiflora (Rovelli ex André) Rehder [chinensis  uniflora],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15308,ABAM,<i>Abies amabilis</i> (Douglas ex Loudon) Douglas ex Forbes,,Pacific silver fir,,0,,,,,,,15308,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,16,abam_001_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Spring and Summer,None,High,No,Yes,No,Yellow,No,Gray-Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20,165,No,Yes,Long,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,Yes,Low,Low,None,90,None,Medium,6,3.3,700,300,260,38,36,None,Tolerant,-28,Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,11280,Slow,Low,No,None,No,Yes,No,Low,Yes,No,No,Low,No,No,Yes,Yes,,,
15309,ABBA,<i>Abies balsamea</i> (L.) Mill.,,balsam fir,,0,,,,,,,15309,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,15,abba_002_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies balsamea (L.) Mill.,Spring and Summer,None,High,No,No,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,18,60,No,Yes,Short,No,None,No,Conical,None,Yes,Yes,Yes,None,Low,Yes,Low,Medium,Low,80,Low,Medium,6,4,1200,300,60,13,20,None,Tolerant,-43,Mid Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,59840,Slow,Low,No,None,No,Yes,No,Low,Yes,Yes,Yes,Medium,No,No,Yes,Yes,Low,,
15316,ABCO,<i>Abies concolor</i> (Gord. & Glend.) Lindl. ex Hildebr.,,white fir,,0,,,,,,,15316,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,28,abco_001_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,Spring and Summer,None,High,No,No,No,Red,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20,120,No,Yes,Long,No,None,No,Conical,None,Yes,No,Yes,None,Low,Yes,Medium,Medium,Medium,80,Low,Medium,7.8,5.5,1200,300,80,18,40,None,Intermediate,-38,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,15920,Moderate,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,Low,,
15319,ABFR,<i>Abies fraseri</i> (Pursh) Poir.,,Fraser fir,,0,,,,,,,15319,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,6,abfr_002_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies fraseri (Pursh) Poir.,Spring and Summer,None,High,No,No,No,Purple,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Moderate,20,55,No,Yes,Moderate,No,None,Yes,Erect,None,Yes,No,Yes,Low,Low,No,Low,Low,Low,90,Low,Medium,5.5,3.5,1200,435,100,45,6,Low,Tolerant,-23,Mid Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,60800,Slow,Medium,No,None,No,Yes,No,Low,No,No,Yes,Low,No,No,Yes,Yes,Low,,
15321,ABGR,<i>Abies grandis</i> (Douglas ex D. Don) Lindl.,,grand fir,,0,,,,,,,15321,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,12,abgr_001_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies grandis (Douglas ex D. Don) Lindl.,Spring and Summer,None,High,No,No,Yes,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Moderate,25,150,No,Yes,Long,No,None,No,Conical,None,Yes,No,Yes,Low,Low,Yes,Medium,Medium,High,60,Low,Medium,7.5,4.5,1200,300,100,11,20,None,Tolerant,-33,Late Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,23200,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,Low,,
15328,ABLA,<i>Abies lasiocarpa</i> (Hook.) Nutt.,,subalpine fir,,0,,,,,,,15328,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,18,abla_001_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies lasiocarpa (Hook.) Nutt.,Spring and Summer,None,High,No,No,No,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,15,90,No,Yes,Long,No,None,No,Conical,None,Yes,No,Yes,None,Low,Yes,Low,Medium,Low,120,Low,Medium,6.5,4,1200,300,150,20,40,None,Tolerant,-51,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,37440,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,No,Low,,
15340,ABMA,<i>Abies magnifica</i> A. Murray bis,,California red fir,,0,,,,,,,15340,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,18,abma_002_tvp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies magnifica A. Murray bis,Spring and Summer,None,High,No,No,Yes,Brown,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Slow,35,150,No,Yes,Long,No,None,No,Erect,None,Yes,No,Yes,None,Low,Yes,Low,Low,Low,90,Low,Medium,6.1,5,1200,430,64,33,20,Low,Tolerant,-23,Late Spring,Contracting Only,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5680,Slow,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,Low,Low,
15342,ABMAS,<i>Abies magnifica</i> A. Murray bis var. <i>shastensis</i> Lemmon,,Shasta red fir,,0,,,,,,,15342,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,0,,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies magnifica A. Murray bis var. shastensis Lemmon,Spring and Summer,None,High,No,No,Yes,Brown,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Slow,25,180,No,Yes,Long,No,None,No,Erect,None,Yes,No,Yes,None,Low,Yes,Low,Low,Low,90,Low,Medium,7.5,6,1200,430,60,30,20,Low,Intermediate,-23,Mid Spring,Contracting Only,High,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,5680,Slow,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,No,No,Yes,Yes,,Low,
15346,ABPR,<i>Abies procera</i> Rehder,,noble fir,,0,,,,,,,15346,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,,20,abpr_001_thp.jpg,0,FALSE,,,,,FALSE,0,,FALSE,,FALSE,,Abies procera Rehder,Spring and Summer,None,High,No,No,No,,No,Dark Green,Dense,Dense,Medium,Purple,Yes,Single Stem,Rapid,25,230,No,Yes,Long,No,None,No,Erect,None,Yes,No,Yes,None,Low,Yes,Low,Low,Low,50,Low,Low,7.5,6,1200,430,120,64,20,None,Intermediate,-23,Late Spring,Contracting Only,Low,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,14640,Slow,Low,No,None,No,Yes,No,Medium,Yes,No,Yes,Low,No,No,Yes,Yes,Low,Low,
